Smiles,IC50,pIC50
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc([C@@]3(O)CCCc4cc(C(=O)O)ccc43)s2)c1,2.75,8.560667306169737
Cc1ncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)nc1N,6.2,8.207608310501746
c1ccc(COc2cccc(Nc3nccc(-c4nccs4)n3)c2)cc1,500.0,6.301029995663981
c1cncc(Oc2cccc(Nc3nccc(-c4nccs4)n3)c2)c1,500.0,6.301029995663981
Cc1cc(Nc2nn(-c3ccc(C(F)(F)F)cc3)c(=O)c3ccccc23)[nH]n1,525.0,6.279840696594043
Cc1cc(Nc2nn(CC3CCCNC3)c(=O)c3ccccc23)[nH]n1,6530.0,5.185086818724926
COc1ccc(-c2cc3ncccc3c(N)n2)cc1,17000.0,4.769551078621726
Cc1cc(Nc2nn(C(C)C)c(=O)c3ccc(N(C)C)cc23)n[nH]1,37000.0,4.431798275933005
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n3cnnc3c2C(N)=O)cc(OC)c1,9.0,8.045757490560675
O=C(NCCN1CCOCC1)c1cc(NCc2cc(O)ccc2O)ccc1O,1500.0,5.823908740944319
NCCCNc1nc(-c2ccc(-c3ccsc3)cc2)cc2ncccc12,1600.0,5.795880017344075
c1cc(COc2ccc(Nc3nccc(-c4nccs4)n3)cc2)ccn1,2000.0,5.698970004336019
COC(=O)c1ccccc1-c1ccc(/C=C2/SC(=S)N(Cc3ccccc3)C2=O)o1,4000.0,5.3979400086720375
Cc1cc(Nc2nn(C(C)C)c(=O)c3cc(N4CCN(C)CC4)ccc23)n[nH]1,5360.0,5.27083521030723
CN(C)c1ccc(-c2cc3ncccc3c(NCC3CCCCC3)n2)cc1,5900.0,5.229147988357856
Cc1cc(Nc2nn(C(C)C)c(=O)c3cc(C(=O)OCC4CC4)ccc23)n[nH]1,9990.0,5.000434511774017
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,39000.0,4.4089353929735005
COc1cc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)n3ncnc3c2C(N)=O)cc(OC)c1,4.0,8.397940008672037
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n3nc(-c4cccc(O)c4)nc3c2C(N)=O)cc(OC)c1,7.0,8.154901959985743
CN(C)c1ccc(-c2cc3ncccc3c(NCc3ccccc3N)n2)cc1,850.0,6.070581074285707
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,22600.0,4.645891560852599
NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,25000.0,4.6020599913279625
O=C1Nc2ccc3c(oc4ccccc43)c2/C1=N/Nc1ccncc1,26000.0,4.585026652029182
